year_month,year,month,avgTa,maxTa,minTa,sumRn,avgWs,avgRhm,sumSsHr,avgPs
2002-01,2002,1,0.3,13.5,-12.0,37.4,2.3,63.0,100.5,1021.0
2002-02,2002,2,2.9,12.6,-5.1,2.4,2.0,55.0,103.9,1023.8
2002-03,2002,3,7.6,19.4,-2.9,31.5,2.1,55.0,128.6,1016.8
2002-04,2002,4,13.6,27.7,4.3,155.1,2.3,53.0,172.4,1014.5
2002-05,2002,5,18.2,27.7,10.0,58.0,2.3,62.0,175.0,1011.7
2002-06,2002,6,22.2,32.0,14.5,61.4,2.0,62.0,162.9,1007.6
2002-07,2002,7,25.2,34.8,18.9,220.6,2.1,74.0,84.1,1004.5
2002-08,2002,8,24.2,32.2,17.9,688.0,2.0,79.0,52.4,1008.0
2002-09,2002,9,21.6,30.6,13.5,61.1,1.6,67.0,119.4,1014.4
2002-10,2002,10,12.8,24.9,-0.3,45.0,2.0,60.0,146.7,1018.0
2002-11,2002,11,4.0,16.7,-4.8,12.5,2.4,55.0,94.5,1021.9
2002-12,2002,12,1.7,15.9,-9.1,15.0,2.2,60.0,81.0,1025.8
2003-01,2003,1,-2.5,8.7,-15.5,14.1,2.5,60.0,92.3,1023.9
2003-02,2003,2,2.7,11.9,-8.3,39.6,2.2,62.0,95.0,1022.5
2003-03,2003,3,6.5,20.9,-5.0,26.8,2.3,58.0,104.3,1021.1
2003-04,2003,4,13.2,24.6,4.8,139.6,2.5,60.0,125.8,1014.9
2003-05,2003,5,19.6,30.4,8.5,106.0,1.8,57.0,170.7,1012.4
2003-06,2003,6,21.5,31.1,14.4,156.0,2.0,69.0,101.8,1006.1
2003-07,2003,7,23.8,31.4,18.3,469.8,1.8,75.0,86.6,1006.7
2003-08,2003,8,24.1,32.2,16.6,684.2,1.4,77.0,83.0,1008.7
2003-09,2003,9,20.9,28.7,13.8,258.2,1.1,72.0,100.4,1013.8
2003-10,2003,10,13.9,26.0,2.7,41.5,2.0,61.0,195.7,1018.4
2003-11,2003,11,9.5,21.3,-3.2,69.3,2.0,66.0,114.0,1022.9
2003-12,2003,12,0.7,12.0,-8.1,6.9,2.4,59.0,180.1,1024.7
2004-01,2004,1,-1.5,8.1,-16.7,19.8,2.1,59.0,176.4,1024.3
2004-02,2004,2,2.3,18.7,-7.8,54.6,2.9,56.0,186.1,1019.9
2004-03,2004,3,6.3,18.7,-5.6,27.6,2.7,49.0,221.6,1020.0
2004-04,2004,4,13.1,27.3,2.7,74.1,2.7,51.0,210.3,1013.8
2004-05,2004,5,17.6,27.6,8.8,168.5,2.6,68.0,166.9,1009.4
2004-06,2004,6,23.2,32.5,14.6,138.1,2.1,64.0,151.5,1009.6
2004-07,2004,7,24.8,34.5,19.5,510.7,2.3,82.0,85.4,1006.9
2004-08,2004,8,26.1,36.2,18.7,193.3,2.4,70.0,147.8,1007.9
2004-09,2004,9,21.7,31.3,12.8,198.7,2.2,69.0,168.2,1014.7
2004-10,2004,10,15.2,25.6,5.3,6.5,2.0,54.0,252.6,1021.0
2004-11,2004,11,9.1,21.5,0.2,80.0,2.0,66.0,156.7,1022.9
2004-12,2004,12,1.9,16.2,-8.3,27.2,2.2,56.0,193.1,1025.2
2005-01,2005,1,-2.5,7.3,-11.0,4.5,2.4,52.0,191.5,1023.2
2005-02,2005,2,-1.9,10.5,-13.1,17.2,2.8,49.0,177.8,1024.5
2005-03,2005,3,4.1,17.6,-6.5,12.5,2.9,54.0,221.9,1019.6
2005-04,2005,4,13.2,29.8,4.1,94.7,3.0,53.0,199.5,1014.0
2005-05,2005,5,17.7,30.2,6.3,85.8,2.4,55.0,235.3,1010.4
2005-06,2005,6,22.7,32.0,15.5,168.5,2.4,69.0,138.3,1005.7
2005-07,2005,7,25.3,34.2,18.3,269.4,2.2,76.0,79.4,1006.2
2005-08,2005,8,25.1,35.0,16.5,285.0,2.6,75.0,103.1,1008.5
2005-09,2005,9,21.8,30.8,13.8,313.3,2.3,71.0,113.7,1015.2
2005-10,2005,10,14.7,24.9,3.0,52.6,1.7,65.0,200.0,1020.0
2005-11,2005,11,8.6,21.8,-1.1,44.6,2.2,55.0,172.5,1020.6
2005-12,2005,12,-3.9,11.1,-14.0,10.3,2.5,51.0,204.1,1025.2
2006-01,2006,1,-0.2,9.3,-10.1,34.3,2.1,57.0,161.1,1025.4
2006-02,2006,2,0.1,11.5,-14.1,15.7,2.6,53.0,172.6,1025.9
2006-03,2006,3,5.2,17.2,-6.9,14.0,2.9,51.0,201.9,1016.9
2006-04,2006,4,11.6,22.2,2.9,51.8,3.0,55.0,136.0,1011.0
2006-05,2006,5,18.4,28.3,10.8,156.2,2.5,57.0,199.1,1012.1
2006-06,2006,6,21.8,32.4,14.1,168.5,2.2,68.0,155.8,1007.1
2006-07,2006,7,23.1,30.1,17.5,1014.0,2.3,82.0,34.3,1006.1
2006-08,2006,8,27.0,34.7,20.8,121.2,2.1,69.0,177.1,1008.4
2006-09,2006,9,21.1,30.3,11.3,11.1,2.1,58.0,195.7,1014.8
2006-10,2006,10,17.9,27.5,7.9,30.2,2.0,62.0,185.2,1018.8
2006-11,2006,11,8.4,20.2,-1.3,47.6,2.4,58.0,153.5,1020.1
2006-12,2006,12,1.4,12.6,-12.3,17.3,2.1,59.0,159.4,1026.7
2007-01,2007,1,0.4,11.8,-7.6,10.8,2.0,56.0,181.9,1026.5
2007-02,2007,2,4.0,14.8,-8.6,12.6,2.3,53.0,171.5,1021.3
2007-03,2007,3,6.1,16.2,-7.6,123.5,2.7,60.0,147.1,1018.1
2007-04,2007,4,11.4,22.5,1.6,41.1,2.8,53.0,191.8,1016.0
2007-05,2007,5,18.1,30.1,9.0,137.6,2.6,62.0,197.3,1007.8
2007-06,2007,6,23.2,33.2,14.1,54.5,2.3,61.0,175.2,1008.4
2007-07,2007,7,24.2,31.2,17.7,274.1,2.4,75.0,91.5,1004.5
2007-08,2007,8,26.5,33.2,19.8,237.6,2.6,75.0,105.7,1008.4
2007-09,2007,9,21.5,31.1,14.1,241.9,2.5,74.0,85.1,1012.4
2007-10,2007,10,15.1,26.2,3.2,39.5,2.1,63.0,170.9,1019.7
2007-11,2007,11,6.7,19.3,-5.5,26.4,2.2,55.0,188.5,1023.8
2007-12,2007,12,1.8,13.8,-7.4,12.7,2.4,60.0,140.8,1022.7
2008-01,2008,1,-1.7,7.3,-11.1,17.7,2.3,50.0,166.5,1026.5
2008-02,2008,2,-1.2,10.5,-10.1,15.0,2.7,46.0,224.2,1025.1
2008-03,2008,3,7.3,19.8,-1.7,53.9,2.6,56.0,187.3,1018.4
2008-04,2008,4,14.1,28.0,3.8,38.5,2.7,50.0,208.1,1015.2
2008-05,2008,5,17.7,28.5,8.1,97.7,2.7,58.0,213.8,1010.2
2008-06,2008,6,21.5,29.6,13.7,165.0,2.7,65.0,173.8,1009.1
2008-07,2008,7,25.1,32.9,20.2,530.8,2.4,78.0,78.7,1007.0
2008-08,2008,8,25.3,35.4,16.3,251.2,2.5,69.0,196.6,1007.5
2008-09,2008,9,22.0,32.0,10.3,99.2,1.9,64.0,184.6,1013.3
2008-10,2008,10,16.1,28.3,5.6,41.8,2.0,62.0,185.1,1018.7
2008-11,2008,11,7.6,18.4,-7.2,19.6,2.2,58.0,169.7,1022.1
2008-12,2008,12,1.1,13.3,-13.1,25.9,2.5,56.0,157.0,1023.6
2009-01,2009,1,-2.0,12.2,-11.4,5.7,2.5,50.0,210.6,1025.5
2009-02,2009,2,2.9,16.1,-8.6,36.9,2.5,57.0,125.6,1020.6
2009-03,2009,3,6.0,22.2,-3.3,63.9,3.1,52.0,202.7,1019.3
2009-04,2009,4,12.7,25.8,2.2,66.5,2.6,54.0,204.5,1015.2
2009-05,2009,5,19.1,31.0,9.8,109.0,2.5,59.0,240.2,1011.9
2009-06,2009,6,22.4,32.4,14.3,132.0,2.5,66.0,181.0,1004.8
2009-07,2009,7,24.3,32.4,18.7,659.4,2.3,76.0,115.8,1004.9
2009-08,2009,8,25.7,34.4,16.4,285.3,2.2,69.0,150.9,1008.6
2009-09,2009,9,21.8,29.9,14.4,64.5,1.8,64.0,201.6,1013.6
2009-10,2009,10,16.0,26.4,6.2,66.9,2.1,62.0,236.3,1016.6
2009-11,2009,11,6.9,21.8,-4.3,52.4,2.5,64.0,130.1,1023.6
2009-12,2009,12,-1.0,10.1,-12.9,21.5,2.5,60.0,146.1,1022.9
2010-01,2010,1,-4.5,8.4,-15.3,29.3,2.3,65.0,167.9,1024.6
2010-02,2010,2,1.4,17.9,-10.8,55.3,2.4,59.0,141.2,1021.1
2010-03,2010,3,4.3,14.2,-4.0,82.5,2.9,59.0,133.0,1020.1
2010-04,2010,4,9.5,20.7,1.1,62.8,2.9,54.0,166.3,1017.8
2010-05,2010,5,17.2,28.6,5.8,124.0,2.6,62.0,178.5,1010.7
2010-06,2010,6,23.4,32.7,12.1,127.6,2.1,62.0,203.0,1009.3
2010-07,2010,7,25.8,32.3,21.0,239.2,2.5,74.0,89.8,1007.3
2010-08,2010,8,26.5,33.8,19.9,598.7,2.4,78.0,96.5,1010.0
2010-09,2010,9,21.8,31.4,8.4,671.5,2.3,72.0,146.4,1013.2
2010-10,2010,10,14.5,24.2,0.7,25.6,2.2,61.0,194.6,1019.0
2010-11,2010,11,6.5,17.4,-5.2,10.9,2.8,55.0,180.3,1021.2
2010-12,2010,12,-1.3,13.5,-15.1,16.1,3.0,56.0,157.8,1018.0
2011-01,2011,1,-7.2,0.3,-17.8,8.9,2.8,54.0,218.5,1027.3
2011-02,2011,2,1.2,13.2,-9.2,29.1,2.6,55.0,166.6,1022.1
2011-03,2011,3,3.6,16.8,-5.5,14.6,3.4,51.0,240.2,1021.4
2011-04,2011,4,10.7,19.0,4.3,110.1,3.2,54.0,202.1,1014.1
2011-05,2011,5,17.9,31.2,8.5,53.4,2.8,56.0,180.4,1010.7
2011-06,2011,6,22.0,32.9,14.4,404.5,2.9,67.0,170.8,1006.5
2011-07,2011,7,24.6,34.1,18.9,1131.0,2.4,79.0,80.4,1005.7
2011-08,2011,8,25.8,34.1,18.1,166.8,2.5,74.0,94.0,1008.3
2011-09,2011,9,21.8,32.4,10.3,25.6,2.4,58.0,180.4,1012.8
2011-10,2011,10,14.2,23.4,3.1,32.0,2.1,55.0,215.3,1020.3
2011-11,2011,11,10.7,25.9,-5.5,56.2,2.7,60.0,129.5,1022.7
2011-12,2011,12,-0.9,9.1,-10.6,7.1,2.6,50.0,195.6,1027.6
2012-01,2012,1,-2.8,8.4,-12.2,6.7,2.5,48.9,190.5,1026.1
2012-02,2012,2,-2.0,12.1,-17.1,0.8,2.9,43.2,224.9,1024.0
2012-03,2012,3,5.1,16.2,-5.7,47.4,3.5,51.8,191.8,1019.5
2012-04,2012,4,12.3,29.4,0.6,157.0,3.4,54.1,212.5,1013.0
2012-05,2012,5,19.7,29.3,12.0,8.2,2.7,48.2,251.3,1011.0
2012-06,2012,6,24.1,33.5,16.3,91.9,2.8,54.1,232.0,1007.0
2012-07,2012,7,25.4,33.2,18.5,448.9,2.7,73.8,144.0,1005.6
2012-08,2012,8,27.1,36.7,18.7,464.9,3.0,68.0,158.7,1008.2
2012-09,2012,9,21.0,29.5,12.0,212.0,2.3,65.2,190.8,1013.5
2012-10,2012,10,15.3,26.0,2.8,99.3,2.3,58.2,235.4,1018.2
2012-11,2012,11,5.5,15.7,-3.0,67.8,2.7,57.2,181.1,1019.3
2012-12,2012,12,-4.1,8.3,-14.5,41.4,2.7,57.0,193.6,1024.6
2013-01,2013,1,-3.4,11.5,-16.4,22.1,2.7,57.1,167.7,1026.4
2013-02,2013,2,-1.2,13.9,-15.8,74.1,2.9,53.6,187.2,1025.1
2013-03,2013,3,5.1,23.8,-4.4,27.3,3.0,49.2,256.3,1017.9
2013-04,2013,4,10.0,21.6,1.3,71.7,3.4,54.0,213.2,1012.9
2013-05,2013,5,18.2,31.8,7.9,132.0,2.9,57.8,238.1,1011.5
2013-06,2013,6,24.4,32.6,16.3,28.3,2.2,60.1,224.0,1007.7
2013-07,2013,7,25.5,31.3,20.5,676.2,3.4,79.3,101.0,1005.0
2013-08,2013,8,27.7,33.9,21.1,148.6,2.8,69.3,217.9,1006.5
2013-09,2013,9,21.8,31.1,10.9,138.5,2.2,62.9,191.0,1014.9
2013-10,2013,10,15.8,28.1,4.3,13.5,2.5,59.0,249.9,1020.2
2013-11,2013,11,6.2,20.7,-6.4,46.8,2.7,58.0,188.0,1020.2
2013-12,2013,12,-0.2,11.0,-9.8,24.7,2.4,60.0,184.4,1022.2
2014-01,2014,1,-0.7,8.2,-10.5,13.0,2.4,50.0,184.4,1025.2
2014-02,2014,2,1.9,16.4,-10.5,16.2,2.7,52.0,163.9,1025.3
2014-03,2014,3,7.9,23.8,-4.6,7.2,3.0,60.0,214.7,1019.6
2014-04,2014,4,14.0,26.2,2.3,31.0,2.8,60.0,213.2,1017.0
2014-05,2014,5,18.9,33.3,6.8,63.0,3.2,59.0,304.0,1010.4
2014-06,2014,6,23.1,31.1,17.3,98.1,2.6,73.0,184.9,1006.2
2014-07,2014,7,26.1,34.4,19.1,207.9,2.8,74.0,172.7,1006.9
2014-08,2014,8,25.2,35.8,18.3,172.8,2.4,77.0,150.7,1008.0
2014-09,2014,9,22.1,31.3,14.9,88.1,2.1,69.0,214.3,1013.2
2014-10,2014,10,15.6,29.0,2.7,52.2,2.4,63.0,239.8,1019.7
2014-11,2014,11,9.0,22.9,-3.1,41.5,2.5,60.9,194.1,1021.5
2014-12,2014,12,-2.9,7.9,-13.2,17.9,2.8,56.0,195.6,1024.5
2015-01,2015,1,-0.9,9.0,-9.8,11.3,2.6,56.0,193.3,1024.7
2015-02,2015,2,1.0,13.0,-13.0,22.7,2.9,59.0,180.0,1022.2
2015-03,2015,3,6.3,21.9,-6.9,9.6,3.1,45.0,270.8,1021.3
2015-04,2015,4,13.3,28.3,3.5,80.5,3.1,55.0,216.0,1015.8
2015-05,2015,5,18.9,32.2,8.3,28.9,3.0,53.0,290.4,1009.4
2015-06,2015,6,23.6,34.9,15.6,99.0,2.5,60.0,258.1,1006.7
2015-07,2015,7,25.8,36.0,18.2,226.0,2.8,71.0,176.1,1006.5
2015-08,2015,8,26.3,34.4,18.9,72.9,2.4,70.0,207.0,1008.2
2015-09,2015,9,22.4,31.0,14.2,26.0,2.3,56.0,262.1,1014.0
2015-10,2015,10,15.5,26.6,1.1,81.5,2.3,61.0,239.7,1018.4
2015-11,2015,11,8.9,19.8,-7.3,104.6,2.7,74.0,109.0,1023.4
2015-12,2015,12,1.6,12.2,-9.5,29.1,2.3,60.0,177.8,1025.6
2016-01,2016,1,-3.2,9.5,-18.0,1.0,2.5,53.0,196.1,1025.5
2016-02,2016,2,0.2,14.4,-10.0,47.6,2.8,52.0,195.2,1024.2
2016-03,2016,3,7.0,21.4,-7.5,40.5,2.4,51.0,253.7,1021.5
2016-04,2016,4,14.1,29.6,5.1,76.8,2.4,55.0,219.5,1013.3
2016-05,2016,5,19.6,31.9,8.9,160.5,2.4,56.0,280.1,1011.3
2016-06,2016,6,23.6,32.2,17.1,54.4,2.1,63.0,229.7,1007.4
2016-07,2016,7,26.2,34.1,19.8,358.2,2.1,73.0,160.4,1007.5
2016-08,2016,8,28.0,36.6,16.1,67.1,2.1,64.0,236.1,1005.6
2016-09,2016,9,23.1,31.1,14.3,33.0,2.0,65.0,191.6,1013.2
2016-10,2016,10,16.1,29.0,0.7,74.8,2.1,62.0,195.7,1019.2
2016-11,2016,11,6.8,18.6,-6.2,16.7,2.2,57.0,173.3,1023.2
2016-12,2016,12,1.2,13.6,-9.8,61.1,2.2,59.0,166.4,1025.0
2017-01,2017,1,-1.8,11.4,-12.6,14.9,2.3,55.0,209.0,1025.6
2017-02,2017,2,-0.2,12.3,-9.3,11.1,2.5,54.0,210.0,1023.5
2017-03,2017,3,6.3,18.9,-5.3,7.9,2.4,48.0,255.2,1019.6
2017-04,2017,4,13.9,27.8,3.1,61.6,2.6,52.0,259.7,1012.8
2017-05,2017,5,19.5,30.3,10.0,16.1,2.4,52.0,301.5,1012.0
2017-06,2017,6,23.3,34.1,14.5,66.6,2.4,57.0,285.2,1008.2
2017-07,2017,7,26.9,35.4,21.9,621.0,2.0,77.0,123.1,1007.2
2017-08,2017,8,25.9,35.3,16.1,297.0,2.3,71.0,166.2,1007.4
2017-09,2017,9,22.1,31.4,11.2,35.0,2.0,61.0,233.7,1013.0
2017-10,2017,10,16.4,29.4,2.5,26.5,1.9,56.0,222.7,1020.9
2017-11,2017,11,5.6,18.4,-6.6,40.7,2.1,54.0,163.9,1023.0
2017-12,2017,12,-1.9,8.7,-12.3,34.8,1.8,56.0,176.1,1026.0
2018-01,2018,1,-4.0,8.7,-17.8,8.5,1.9,48.0,186.7,1024.6
2018-02,2018,2,-1.6,10.4,-13.4,29.6,2.2,45.0,194.2,1023.8
2018-03,2018,3,8.1,22.1,-6.7,49.5,1.9,59.0,209.1,1020.3
2018-04,2018,4,13.0,26.3,0.1,130.3,2.0,55.0,223.4,1015.6
2018-05,2018,5,18.2,29.6,6.9,222.0,1.7,63.0,231.6,1011.2
2018-06,2018,6,23.1,32.9,16.3,171.5,1.7,63.0,236.6,1007.6
2018-07,2018,7,27.8,38.3,17.7,185.6,1.5,68.0,228.5,1008.5
2018-08,2018,8,28.8,39.6,20.2,202.6,1.7,65.0,232.5,1007.0
2018-09,2018,9,21.5,30.9,10.8,68.5,1.6,61.0,218.7,1013.2
2018-10,2018,10,13.1,25.6,0.7,120.5,1.5,59.0,241.9,1018.9
2018-11,2018,11,7.8,19.4,-3.1,79.1,1.4,58.0,177.6,1023.7
2018-12,2018,12,-0.6,13.5,-14.4,16.4,1.8,46.0,199.9,1027.8
2019-01,2019,1,-0.9,8.5,-10.1,-,1.8,46.0,215.0,1026.4
2019-02,2019,2,1.0,14.5,-10.2,23.8,1.8,47.0,190.5,1024.5
2019-03,2019,3,7.1,17.6,-1.7,26.8,2.1,51.0,203.8,1017.1
2019-04,2019,4,12.1,28.2,0.3,47.3,1.9,51.0,221.6,1015.1
2019-05,2019,5,19.4,33.4,8.4,37.8,2.1,47.0,314.0,1011.5
2019-06,2019,6,22.5,32.8,14.1,74.0,1.7,61.0,235.1,1007.0
2019-07,2019,7,25.9,36.1,19.3,194.4,1.8,69.0,150.1,1005.9
2019-08,2019,8,27.2,36.8,18.5,190.5,1.6,69.0,239.3,1006.6
2019-09,2019,9,22.6,30.5,13.6,139.8,2.2,65.0,168.9,1014.6
2019-10,2019,10,16.4,28.2,4.7,55.5,2.1,62.0,236.5,1018.9
2019-11,2019,11,7.6,22.1,-4.6,78.8,2.2,56.0,203.2,1022.7
2019-12,2019,12,1.4,12.9,-10.9,22.6,2.1,58.0,164.2,1025.8
2020-01,2020,1,1.6,11.9,-6.5,60.5,2.1,56.0,177.9,1023.6
2020-02,2020,2,2.5,15.6,-11.8,53.1,2.3,58.0,185.0,1024.8
2020-03,2020,3,7.7,20.6,-2.8,16.3,2.5,46.0,262.9,1017.6
2020-04,2020,4,11.1,23.8,1.9,16.9,3.0,50.0,283.3,1017.0
2020-05,2020,5,18.0,30.0,9.2,112.4,2.4,67.0,177.9,1010.1
2020-06,2020,6,23.9,35.4,14.8,139.6,2.3,68.0,206.1,1005.9
2020-07,2020,7,24.1,32.9,17.2,270.4,2.4,77.0,119.4,1006.7
2020-08,2020,8,26.5,34.5,21.5,675.7,2.3,85.0,74.7,1008.3
2020-09,2020,9,21.4,29.5,13.6,181.5,2.5,71.0,174.3,1011.8
2020-10,2020,10,14.3,23.6,3.2,-,2.1,61.0,227.1,1020.7
2020-11,2020,11,8.0,20.0,-3.6,120.1,2.2,64.0,171.5,1025.1
2020-12,2020,12,-0.3,11.4,-12.9,4.6,2.2,58.0,203.6,1026.8
2021-01,2021,1,-2.4,13.9,-18.6,18.9,2.5,58.0,-,1024.9
2021-02,2021,2,2.7,17.4,-10.6,7.1,2.6,56.0,181.0,1021.5
2021-03,2021,3,9.0,22.9,-1.2,110.9,2.4,63.0,213.0,1019.7
2021-04,2021,4,14.2,28.2,3.1,124.1,2.6,54.0,208.6,1018.1
2021-05,2021,5,17.1,30.8,7.3,183.1,2.4,68.0,203.7,1008.9
2021-06,2021,6,22.8,31.6,13.3,104.6,2.2,73.0,185.5,1007.5
2021-07,2021,7,28.1,36.5,19.6,168.3,2.0,71.0,195.2,1007.7
2021-08,2021,8,25.9,33.7,18.1,211.2,2.1,74.0,127.3,1008.2
2021-09,2021,9,22.6,30.3,16.0,131.0,2.3,71.0,182.0,1013.3
2021-10,2021,10,15.6,28.8,1.3,57.0,2.1,70.0,168.4,1021.2
2021-11,2021,11,8.2,21.3,-3.7,62.4,2.1,68.0,163.6,1019.6
2021-12,2021,12,0.6,13.3,-15.5,7.9,2.3,62.0,185.4,1025.2
